 Element ID, Tensor(Element Stresses (2D & 3D)),
57658,3.997E-02 1.168E-01 3.445E-02 -6.785E-02 1.776E-03 -1.060E-02 ,
57657,-4.657E-01 6.530E-02 3.245E-02 9.700E-02 3.406E-02 -8.530E-03 ,
57656,-7.692E-02 3.480E-02 -5.171E-02 -9.636E-02 -4.139E-03 1.418E-02 ,
57655,-2.717E+00 -6.928E-01 -8.339E-01 9.287E-02 -6.040E-02 -2.615E-02 ,
57654,4.703E-01 4.369E-01 6.639E-02 5.200E-01 -7.141E-02 -9.929E-02 ,
57653,2.613E-01 5.764E-01 2.069E-01 -1.093E-01 2.448E-02 -8.363E-03 ,
57652,-1.526E+00 -4.548E-02 -1.415E-01 5.257E-02 4.635E-02 5.644E-02 ,
57651,-6.842E-02 -6.605E-02 -4.773E-02 -3.622E-01 -1.053E-02 -3.763E-04 ,
57650,-4.500E-01 -3.753E-01 -3.690E-01 -2.722E-01 6.883E-03 -6.425E-03 ,
57649,-7.438E-01 -5.459E-02 -8.182E-02 1.105E-01 3.603E-04 2.160E-02 ,
57648,-5.251E-01 -6.328E-01 -7.416E-01 4.116E-02 1.676E-02 -1.684E-03 ,
57647,-3.043E-01 1.820E-01 -1.780E-02 4.640E-01 -2.732E-03 -3.766E-02 ,
57646,-2.624E-01 4.853E-02 -8.270E-02 9.061E-03 -2.533E-03 7.517E-03 ,
57645,8.556E-02 -1.329E-01 8.390E-02 1.274E-01 1.076E-02 6.619E-03 ,
57644,5.955E-01 1.880E-01 5.594E-02 3.550E-01 -1.352E-02 -2.759E-02 ,
57643,-3.185E-01 -1.930E-01 -3.539E-01 -2.559E-01 -1.287E-02 3.371E-02 ,
57642,-4.048E-02 2.076E-02 -2.015E-02 4.556E-01 9.576E-03 -6.238E-05 ,
57641,-4.021E-02 4.738E-03 -1.343E-03 1.990E-01 8.130E-03 -6.630E-03 ,
57640,3.711E-01 3.534E-02 4.244E-02 6.597E-02 -4.678E-04 8.965E-03 ,
57639,-7.146E-01 7.682E-01 -4.543E-02 3.586E-01 2.177E-02 1.437E-02 ,
57638,6.909E-02 1.520E-01 2.013E-01 -2.468E-01 2.073E-03 1.012E-03 ,
57637,3.640E-01 -1.976E-01 1.441E-02 -3.638E-01 3.579E-02 -1.600E-02 ,
57636,1.456E-01 8.746E-02 6.189E-02 -1.249E-01 1.371E-02 -5.582E-03 ,
57635,3.545E-01 -2.774E-02 3.840E-02 -4.272E-02 1.140E-02 -1.266E-02 ,
57634,-6.455E-01 -3.623E-01 -3.215E-01 -3.643E-01 6.631E-03 -2.479E-03 ,
57633,4.547E-01 -1.625E-01 -4.608E-02 2.550E-01 5.037E-04 -1.260E-02 ,
57632,2.522E-01 -3.916E-02 1.680E-01 1.007E+00 1.105E-01 5.223E-03 ,
57631,-1.000E-01 2.445E-01 8.146E-02 1.058E-01 -4.536E-03 1.195E-02 ,
57630,-3.322E-01 1.137E-01 -8.495E-02 1.765E-01 -1.678E-02 7.471E-03 ,
57629,1.608E+00 -1.741E-01 -4.626E-02 -4.305E-01 -1.068E-01 5.772E-02 ,
57628,-1.609E-01 -1.745E-01 -8.588E-02 -9.264E-02 -3.181E-04 3.244E-03 ,
57627,-7.191E-01 1.847E-04 -2.748E-01 -1.064E-01 -5.350E-02 4.106E-03 ,
57626,-5.765E-03 -1.487E-01 -2.804E-03 5.690E-02 2.747E-02 -7.534E-03 ,
57625,2.052E-01 2.495E-02 2.108E-02 3.675E-01 -4.066E-02 3.487E-03 ,
57624,-2.414E-01 7.677E-02 -5.204E-02 1.251E-01 -6.410E-03 -8.318E-03 ,
57623,-3.816E-01 -6.635E-02 -2.838E-01 2.008E-02 3.621E-03 1.488E-02 ,
57622,-1.682E+00 1.748E-01 -2.106E-01 2.174E-01 -1.873E-01 3.491E-03 ,
57621,9.439E-02 3.947E-01 2.520E-01 3.044E-01 -4.088E-02 -2.399E-02 ,
57620,3.719E-01 2.002E-01 3.348E-01 -2.206E-01 -1.920E-03 8.623E-03 ,
57619,-7.552E-03 -7.017E-02 -1.278E-01 9.623E-02 -3.620E-03 1.821E-02 ,
57618,-6.950E-01 2.387E-02 -4.436E-02 1.444E-01 1.850E-02 1.355E-04 ,
57617,3.106E-01 -9.186E-02 -4.659E-02 5.759E-02 1.530E-04 3.295E-03 ,
57616,2.172E-01 5.844E-01 3.147E-01 -3.952E-01 5.652E-02 -1.087E-02 ,
57615,-3.247E-02 -2.079E-02 -5.706E-03 1.485E-01 -8.642E-03 2.609E-03 ,
57614,-1.023E+00 3.194E-01 -1.023E-01 -1.051E-02 -7.704E-02 1.067E-01 ,
57613,3.777E-01 -9.757E-02 -4.508E-02 2.536E-01 -8.328E-03 9.595E-03 ,
57612,5.270E-01 5.638E-01 2.380E-01 -6.495E-02 -7.910E-02 1.268E-01 ,
57611,-4.007E-02 1.036E-02 2.298E-03 1.841E-01 3.201E-03 -3.011E-03 ,
57610,1.716E-02 4.147E-01 3.256E-02 4.454E-01 2.168E-02 -1.534E-02 ,
57609,-3.764E-03 -7.133E-03 1.242E-02 1.026E-01 4.074E-03 8.223E-03 ,
57608,4.320E-01 2.215E-02 4.502E-02 1.435E-01 -3.862E-03 1.142E-02 ,
57607,6.654E-01 1.244E+00 2.831E-01 7.743E-03 3.519E-02 -1.639E-01 ,
57606,3.484E-02 -2.726E-02 -6.555E-02 1.723E-02 -4.761E-03 1.134E-02 ,
57605,9.499E-03 7.248E-03 2.460E-02 1.957E-01 -6.635E-03 5.854E-03 ,
57604,-6.364E-02 -6.757E-01 -9.484E-02 6.842E-02 -4.955E-03 2.358E-02 ,
