 Element ID, Tensor(Element Stresses (2D & 3D)),
125,-7.869E+00 -7.071E+01 1.217E+00 2.890E-02 4.008E+00 -5.109E-01 ,
126,1.313E+01 9.682E+01 6.157E+00 -4.035E+00 3.129E-02 -3.802E+00 ,
127,-3.041E+01 -1.126E+02 3.858E+00 -4.149E+00 1.796E+01 -3.737E+00 ,
128,1.190E+00 -2.710E+00 3.555E-01 -1.699E+00 1.352E+00 -7.894E-02 ,
129,1.149E+00 -1.649E+01 -5.492E-01 -3.158E+00 3.999E+00 7.981E-02 ,
130,1.292E+01 9.928E+01 8.959E+00 3.450E+00 2.390E+00 7.290E-01 ,
131,-3.832E-01 -3.824E+01 5.626E-01 -1.045E+00 6.497E+00 -3.619E-01 ,
132,-8.508E+00 -1.069E+02 -4.509E+00 3.680E+00 4.790E+00 5.714E-01 ,
133,-2.153E+01 -1.086E+02 -3.611E+00 -2.026E+00 6.882E+00 3.509E-02 ,
134,-2.297E+01 -1.019E+02 -6.562E-01 -4.278E+00 9.305E+00 -2.542E-01 ,
135,3.807E+00 8.565E+01 3.134E+00 1.357E-01 -3.062E+00 -2.586E+00 ,
136,-3.552E+01 -1.313E+02 -8.065E+00 3.813E+00 1.069E+01 1.101E+00 ,
137,-2.475E+01 -6.519E+01 -2.698E+01 -2.893E+00 2.602E+01 1.558E+00 ,
138,1.732E+00 2.514E+01 8.625E+00 8.036E-01 1.476E+01 7.358E-02 ,
139,-2.691E+01 -6.524E+01 -2.298E+01 -4.652E+00 2.183E+01 4.660E-01 ,
140,2.629E-01 -7.842E+01 -9.277E-01 -1.816E+00 3.283E+00 3.213E-01 ,
141,-1.900E+01 -1.004E+02 -1.340E+00 9.691E-01 5.750E+00 6.280E-01 ,
142,-1.777E+01 -9.279E+01 -6.327E-01 -1.748E+00 6.561E+00 2.223E-01 ,
143,4.131E-02 -5.842E+01 5.807E-01 -3.111E+00 5.286E+00 -1.839E-01 ,
144,-3.620E+00 -7.121E+01 1.637E+00 9.429E-02 5.367E+00 -8.607E-02 ,
145,1.533E+00 -3.302E+01 2.084E+00 -2.964E+00 3.937E+00 5.348E-01 ,
146,1.628E+00 5.293E-04 9.547E-01 3.158E-01 9.884E-01 -7.562E-01 ,
147,2.349E+00 7.403E+01 -3.800E+00 2.291E+00 1.086E+00 -2.825E-01 ,
148,-1.408E+01 -9.168E+01 -1.014E+00 -2.370E+00 4.806E+00 -3.355E-01 ,
149,-1.398E-01 -4.278E+01 8.376E-01 -1.162E+00 6.909E+00 -3.876E-01 ,
150,3.693E-01 8.616E-01 3.693E-01 5.903E-01 1.938E+01 2.619E-16 ,
151,2.957E-01 1.710E+01 7.848E+00 2.846E-01 2.260E+01 1.213E+00 ,
152,-1.815E+01 -1.006E+02 -3.052E-02 -3.216E+00 5.365E+00 6.921E-02 ,
153,-1.681E+01 -4.810E+01 -1.521E+01 -2.075E+00 2.169E+01 -1.421E-01 ,
154,-1.060E+01 -8.560E+01 -1.060E+00 -2.289E+00 4.840E+00 -1.703E+00 ,
155,2.559E+00 8.308E+01 -3.786E+00 -1.688E+00 2.939E+00 -6.372E-01 ,
156,-1.177E+01 -9.643E+01 -1.789E-01 -3.188E+00 5.132E+00 -3.696E-01 ,
157,-1.076E+01 -6.567E+00 -1.128E+02 -1.122E+00 1.399E+01 -6.909E+00 ,
158,-1.743E+01 -1.003E+02 1.696E-01 -1.242E+00 6.677E+00 -3.124E-01 ,
159,3.232E-01 3.794E+01 7.074E+00 8.797E-01 1.811E+01 -1.157E+00 ,
160,-7.903E+00 -5.004E+00 -1.115E+02 -4.803E-01 1.565E+01 -3.868E+00 ,
161,-7.911E-01 3.120E+01 2.845E+00 -3.198E-01 1.387E+01 5.889E-02 ,
162,-3.182E-01 6.100E+01 -1.069E-01 -7.231E-01 6.567E+00 1.449E-01 ,
163,-9.974E+00 -8.312E+01 -3.686E+00 6.002E-01 3.714E+00 1.841E-01 ,
164,1.505E+01 4.752E+01 1.593E+01 7.867E+00 1.586E+01 -3.057E-01 ,
165,-1.839E+00 -3.698E+01 -2.403E+00 -2.009E+00 5.449E+00 -7.338E-01 ,
166,4.879E-01 -3.152E+01 1.784E-01 -3.391E+00 5.107E+00 1.348E-01 ,
167,-4.358E-01 -3.164E+01 -1.026E-01 -1.288E+00 4.818E+00 9.258E-02 ,
168,2.754E+00 -1.114E+00 -1.382E+01 -4.590E-01 4.489E+00 2.674E+00 ,
169,-1.191E+01 -9.201E+01 2.275E-01 -2.929E+00 5.839E+00 -1.326E+00 ,
170,-6.520E-01 -4.899E+01 2.286E+00 1.553E+00 1.803E+01 -8.261E-01 ,
171,-9.001E-01 -1.500E+01 3.781E+00 1.333E-01 3.166E+01 -5.872E-01 ,
172,4.209E-01 -3.858E+01 1.473E+00 -1.823E+00 3.715E+00 -3.102E-01 ,
173,-3.326E+01 -8.497E+01 -2.126E+01 -5.812E+00 2.259E+01 1.630E+00 ,
174,-1.601E+00 -7.686E+01 -4.744E-01 2.338E+00 1.613E+00 -4.153E-01 ,
175,-1.536E+01 -2.165E+00 -1.184E+02 1.939E+00 1.105E+01 -3.588E+00 ,
176,2.142E+00 -3.027E+01 7.199E-01 -8.751E-01 4.327E+00 -2.246E-01 ,
177,-7.321E+00 -2.182E+01 -8.745E+00 -5.273E+00 1.728E+01 2.132E+00 ,
178,1.307E+00 -2.591E+01 1.452E-01 2.211E+00 4.796E+00 -8.004E-02 ,
179,-8.227E-01 8.515E+00 3.979E+00 -1.474E+00 9.348E+00 3.332E+00 ,
180,-2.168E+01 -1.025E+02 2.914E+00 -5.035E+00 1.219E+01 -1.160E+00 ,
181,-3.919E-01 -3.491E+01 9.727E-01 -3.959E+00 4.565E+00 -2.618E-01 ,
182,2.677E-01 -2.166E+01 -1.932E-01 -3.725E+00 4.947E+00 2.900E-01 ,
183,-8.420E-01 -2.035E+01 -1.213E+00 -1.856E+00 7.896E+00 2.674E-02 ,
184,1.302E-01 -2.210E+01 -1.207E-01 -1.445E+00 4.563E+00 -2.196E-01 ,
185,2.392E+01 1.208E+02 3.751E+00 -1.051E+00 5.864E+00 -1.360E+00 ,
186,-5.139E-01 -3.057E+01 -4.305E-01 -1.702E+00 4.759E+00 -3.296E-01 ,
187,-2.354E+00 -6.212E+01 -2.502E-01 -2.541E+00 4.345E+00 9.614E-02 ,
188,-3.810E-01 -5.984E+01 5.959E-01 3.317E+00 6.449E+00 -1.212E+00 ,
189,2.089E+00 -1.886E+01 2.161E+00 -1.802E+00 1.117E+01 -5.359E-02 ,
190,-1.413E-01 -1.806E+00 -4.685E+01 -1.848E-01 5.840E+00 3.006E+00 ,
191,-1.495E+00 -3.137E+01 -2.616E+00 -1.631E+00 1.169E+01 -7.406E-01 ,
192,8.881E-01 -2.578E+01 -2.237E-02 -1.683E+00 5.916E+00 1.064E-01 ,
193,-1.060E+00 -3.769E+00 -5.530E+01 1.113E-02 6.437E+00 1.081E+00 ,
194,-1.285E+01 -3.511E+01 -1.317E+01 5.273E-01 2.017E+01 5.166E-01 ,
195,-3.523E+00 -5.715E+01 -2.121E+00 8.185E-01 3.844E+00 3.043E-01 ,
196,-7.896E-01 -2.363E+01 -3.070E+00 8.977E-01 3.700E+01 2.748E-01 ,
197,-9.276E-02 -5.551E+01 -3.080E-01 -7.517E-01 1.694E+01 -1.453E-01 ,
198,8.975E-01 -1.762E+01 2.666E+00 -5.015E-03 3.707E+01 -5.422E-01 ,
199,1.876E+00 -6.488E+00 -4.019E+01 -6.019E-01 3.217E+01 1.538E+00 ,
200,-9.879E+00 -2.337E+01 -1.056E+01 2.520E-01 1.935E+01 -2.136E-01 ,
201,-7.901E-01 7.704E+01 -3.104E+00 7.251E-01 5.806E+00 1.523E-01 ,
202,-7.908E-01 -1.781E+01 1.808E+00 6.985E-01 3.055E+01 -1.679E+00 ,
203,-3.958E-02 -2.844E+01 1.748E+00 -6.770E-01 3.342E+01 3.114E-01 ,
204,-2.335E+00 -6.875E+01 9.424E-02 3.120E+00 4.151E+00 -1.372E-01 ,
205,2.367E+00 3.761E-01 1.474E+00 -1.958E-02 1.172E-01 3.412E-01 ,
206,2.786E-01 -8.206E-01 2.559E+00 -2.198E-01 1.742E+01 6.179E-01 ,
207,4.982E+00 8.330E+01 1.105E+00 1.074E+00 1.228E+00 6.106E-01 ,
208,-2.446E-01 5.382E+01 1.559E+00 9.979E-02 7.516E+00 1.470E+00 ,
209,1.164E-02 -3.038E+01 1.188E-01 -2.337E+00 4.158E+00 -8.466E-02 ,
210,1.979E+00 -2.467E+01 2.435E+00 -1.744E+00 5.659E+00 7.135E-01 ,
211,-2.028E+01 -4.732E+01 -2.028E+01 -1.333E+00 2.427E+01 0.000E+00 ,
212,-1.395E+00 -2.815E+01 -2.160E+00 -2.652E+00 4.337E+00 -5.365E-01 ,
213,3.990E+01 9.309E+01 3.990E+01 -2.868E+00 2.765E+01 1.359E-18 ,
214,-1.877E+01 -4.379E+01 -1.877E+01 -5.071E+00 2.273E+01 0.000E+00 ,
215,2.453E-01 -1.622E+01 4.334E+00 4.579E-03 2.857E+01 1.445E+00 ,
216,3.587E-01 -2.444E+01 1.181E+00 2.518E-01 3.582E+01 -5.916E-01 ,
217,3.821E-01 -2.024E+01 6.062E-01 -6.130E-02 3.923E+01 -6.857E-01 ,
218,5.836E-01 -2.089E+01 -9.338E-01 3.685E-01 3.517E+01 -1.631E-01 ,
219,8.121E-02 -2.217E+01 4.002E-01 -1.421E-01 2.766E+01 1.007E+00 ,
220,-3.529E+00 -6.113E+01 1.661E+00 1.726E+00 4.078E+00 2.296E-01 ,
221,-2.305E+00 -5.042E+01 7.539E-01 -3.010E-01 4.734E+00 7.900E-01 ,
222,-1.891E-01 -2.884E+01 6.551E-01 -3.710E+00 4.072E+00 1.444E-01 ,
223,7.603E+00 1.043E+02 1.849E+00 -3.215E+00 3.376E+00 -1.137E+00 ,
224,2.660E-01 -2.105E+01 -9.276E-01 -1.225E+00 5.291E+00 3.258E-03 ,
225,8.323E+01 1.942E+02 8.323E+01 -1.752E+01 4.763E+01 -1.422E-15 ,
226,-3.245E+00 -5.623E+01 6.741E-01 1.621E+00 4.852E+00 1.396E-01 ,
227,-4.524E+00 -5.523E+01 -2.634E+00 1.625E+00 3.793E+00 -3.815E-01 ,
228,-8.948E-02 -2.730E+01 2.367E+00 7.605E-02 3.272E+01 -5.326E-01 ,
229,6.395E-01 -2.358E+01 2.711E+00 4.715E-01 3.445E+01 -1.045E+00 ,
230,-4.554E-01 -2.964E+01 8.392E-01 5.088E-01 3.050E+01 1.095E-02 ,
231,4.130E+01 1.512E+02 1.591E+01 3.157E-01 2.066E+01 2.161E+00 ,
