 Node ID, Tensor(Element Stresses (2D & 3D)),
194,-6.383E-01 6.315E+00 1.786E-01 1.461E+00 -1.710E+00 1.029E-02 ,
195,-4.689E-01 9.063E+00 1.983E-01 1.626E+00 -2.023E+00 -8.536E-04 ,
196,-3.499E-01 1.222E+01 2.234E-01 1.777E+00 -2.255E+00 -4.398E-02 ,
197,-3.600E-01 1.590E+01 1.938E-01 2.051E+00 -2.321E+00 -5.787E-02 ,
198,-2.936E-01 1.950E+01 2.498E-01 2.244E+00 -2.538E+00 -9.727E-02 ,
199,4.167E-01 2.548E+01 8.066E-01 2.172E+00 -2.994E+00 -1.122E-01 ,
200,6.411E-01 3.014E+01 6.116E-01 1.662E+00 -4.158E+00 -2.949E-01 ,
201,1.731E+00 3.838E+01 9.750E-01 1.026E+00 -4.911E+00 -4.911E-01 ,
202,3.065E+00 4.626E+01 1.341E+00 8.411E-01 -6.815E+00 -9.037E-01 ,
203,4.469E+00 5.217E+01 2.080E+00 5.519E-03 -8.829E+00 -3.800E-01 ,
204,9.070E+00 7.162E+01 5.923E+00 -9.676E-01 -1.176E+01 -1.744E+00 ,
205,-1.250E+00 4.254E-01 1.376E-01 5.436E-01 -2.964E-01 2.742E-02 ,
206,2.147E+01 1.031E+02 2.061E+01 -5.430E+00 -2.354E+01 -1.349E+00 ,
207,1.844E+01 8.890E+01 1.231E+01 -1.335E+00 -2.019E+01 -1.447E+00 ,
208,2.466E+01 9.900E+01 1.651E+01 -1.426E+00 -2.598E+01 -1.963E-01 ,
209,1.455E+01 7.754E+01 8.405E+00 -5.985E-01 -1.504E+01 -1.427E+00 ,
210,7.623E+00 6.264E+01 4.446E+00 4.836E-01 -9.230E+00 -3.988E-01 ,
211,3.875E+00 5.019E+01 9.838E-01 -6.729E-01 -6.187E+00 2.279E-01 ,
212,2.877E+01 1.041E+02 1.856E+01 -1.534E+00 -2.204E+01 -2.965E+00 ,
213,2.012E+01 8.548E+01 9.820E+00 -1.911E+00 -1.641E+01 -8.833E-02 ,
214,2.712E+01 9.841E+01 1.496E+01 -7.514E-01 -1.962E+01 9.334E-01 ,
215,1.996E+01 8.514E+01 8.898E+00 -1.422E+00 -1.288E+01 -4.393E-01 ,
216,3.659E+01 1.143E+02 1.542E+01 2.795E+00 -2.473E+01 7.710E-01 ,
217,2.349E+01 8.660E+01 8.368E+00 -9.125E-01 -1.277E+01 1.012E+00 ,
218,3.101E+01 1.055E+02 1.513E+01 9.283E-01 -2.280E+01 -7.076E-01 ,
219,3.576E+01 1.114E+02 1.954E+01 -3.482E-01 -2.793E+01 -4.401E-01 ,
