 Element ID, Tensor(Element Stresses (2D & 3D)),
157,1.246E+00 3.459E+00 4.962E+00 9.391E-01 -8.014E-01 5.301E+00 ,
158,6.551E+00 4.793E+00 4.872E+00 6.745E-01 -5.518E-01 8.057E+00 ,
159,1.938E+01 4.640E+00 1.412E+01 1.859E+00 -3.481E-01 -3.684E+00 ,
160,-3.183E-01 -1.671E+00 -1.139E+00 -2.291E+00 5.183E-01 3.180E+00 ,
161,-5.544E-01 3.034E+01 1.208E+00 2.764E-01 -1.306E+01 -7.432E-01 ,
162,6.482E+00 3.145E+00 1.506E+00 -3.323E+00 -5.150E-01 2.805E+00 ,
163,4.591E-01 -6.516E+00 -5.321E+00 -3.843E+00 1.605E-01 2.641E+00 ,
164,2.734E+00 1.585E+00 2.260E+00 -1.449E+00 6.139E-01 6.696E+00 ,
165,1.561E+00 -8.044E-01 1.215E+00 -6.090E-01 7.090E-01 9.425E+00 ,
166,-3.166E+00 -8.641E-02 -1.512E+00 -5.849E-01 5.509E-01 4.657E-01 ,
167,2.876E-01 -6.780E-01 -1.008E+00 -1.884E+00 5.470E-01 2.859E+00 ,
168,1.650E+01 2.011E+01 6.716E+01 6.639E+00 4.566E+00 7.318E+00 ,
169,-1.389E+00 -1.067E+00 1.412E-01 -1.318E+00 -5.419E-03 3.106E+00 ,
170,-2.079E+00 6.557E-01 2.820E-01 -1.508E+00 5.761E-01 3.318E+00 ,
171,1.100E+00 9.742E-01 1.892E+00 -1.528E+00 9.190E-01 6.437E+00 ,
172,-1.728E+01 -2.482E+00 4.495E+00 -6.115E-02 -4.281E-01 -1.381E+00 ,
173,-7.415E-01 -4.424E+00 -4.314E+00 -1.380E+00 4.868E-01 9.863E+00 ,
174,-3.911E+00 -4.382E+00 -5.343E+00 -4.025E+00 2.967E-01 2.681E+00 ,
175,-3.560E+01 -3.376E+01 1.877E+01 2.293E+00 -1.310E+00 -2.127E+00 ,
176,-1.403E+01 2.906E+00 5.312E+00 -1.258E+00 3.335E-01 1.430E+00 ,
177,-8.770E+00 -5.494E+00 -7.543E+00 -3.600E+00 6.476E-01 2.127E+00 ,
178,9.544E-01 -6.856E-01 1.698E-01 -1.326E+00 6.392E-01 3.399E+00 ,
179,-3.787E+00 -2.719E+00 -3.161E+00 -4.089E+00 7.703E-01 3.144E+00 ,
180,3.585E+00 2.245E+00 3.857E+00 -1.857E+00 3.680E-01 7.179E+00 ,
181,-4.351E+00 -3.815E+00 1.212E+01 -8.043E-01 -2.099E-01 6.443E+00 ,
182,2.381E+01 1.352E+01 1.736E+01 3.878E+00 1.712E+01 4.693E+00 ,
