 Element ID, Tensor(Element Stresses (2D & 3D)),
13239,1.194E-02 6.060E-01 1.109E-01 8.889E-02 3.864E-02 2.139E-02 ,
13238,4.848E-01 9.068E-01 2.456E-01 -8.006E-02 2.336E-01 -2.458E-02 ,
13237,-2.418E-02 -2.549E-01 -1.132E-01 3.520E-01 -1.050E-01 -3.177E-02 ,
13236,2.856E-02 1.183E-01 -1.056E-02 -5.427E-01 -2.334E-01 1.594E-01 ,
13235,-6.676E-02 3.428E-01 -3.973E-02 -2.320E-02 -1.169E-02 -4.818E-03 ,
13234,8.376E-01 1.104E+00 7.558E-01 -3.050E-01 -3.957E-02 -4.289E-02 ,
13233,2.235E-01 1.892E-01 -6.334E-02 4.168E-01 3.208E-01 -2.980E-02 ,
13232,-7.752E-01 -1.631E-01 -7.839E-01 -6.717E-02 -3.499E-02 1.310E-02 ,
13231,4.319E-01 1.343E+00 4.352E-01 1.367E-01 4.518E-01 5.204E-02 ,
13230,-6.519E-01 -9.007E-02 -2.822E-01 9.230E-02 -8.074E-01 8.456E-02 ,
13229,1.566E-02 1.052E-01 7.405E-02 3.750E-01 -1.526E-02 1.945E-02 ,
13228,2.359E-01 4.555E-01 6.366E-02 -5.530E-02 -2.222E-01 -1.249E-02 ,
13227,-4.312E-01 -7.590E-03 -5.172E-01 5.152E-02 -5.480E-02 6.802E-03 ,
13226,4.319E-02 1.005E+00 8.824E-02 -7.176E-02 -4.760E-01 1.328E-02 ,
13225,-6.060E-01 -1.159E+00 -1.275E+00 -5.444E-01 -2.973E-01 -1.513E-02 ,
13224,-1.084E+00 -8.628E-01 -8.910E-01 3.715E-01 -6.286E-01 8.963E-02 ,
13223,-1.386E-01 1.423E-02 -1.283E-01 -2.381E-01 7.863E-02 -5.565E-02 ,
13222,-7.337E-03 2.017E-01 -8.694E-02 -3.743E-01 -3.925E-01 9.185E-02 ,
13221,-1.063E-01 -1.014E-01 -1.581E-01 2.056E-01 -3.708E-02 2.026E-02 ,
13220,-4.459E-01 1.832E-01 4.466E-02 -3.192E-02 -3.586E-02 7.722E-03 ,
13219,1.498E-01 1.081E+00 1.341E-01 8.292E-02 -4.474E-01 6.947E-03 ,
13218,6.289E-01 1.223E+00 4.451E-01 2.608E-01 3.952E-01 4.739E-02 ,
13217,-2.395E-01 -2.366E-01 -4.101E-01 -9.796E-02 4.842E-03 -1.838E-02 ,
13216,1.593E-01 1.042E-01 3.521E-01 2.046E-02 -2.353E-02 3.246E-02 ,
13215,3.374E-01 5.827E-01 1.843E-01 -9.792E-03 1.082E-03 3.428E-02 ,
13214,2.278E-01 5.833E-01 1.971E-01 4.105E-01 -2.813E-01 -1.572E-01 ,
13213,-7.850E-01 1.720E-01 -5.979E-01 3.423E-02 3.518E-01 3.710E-03 ,
13212,1.458E-01 -2.715E-02 1.664E+00 -7.646E-02 -3.399E-01 -3.397E-02 ,
13211,6.270E-01 1.696E+00 7.131E-01 -4.434E-01 3.388E-01 1.091E-02 ,
13210,-2.172E-01 2.081E-01 1.166E-01 3.088E-01 7.762E-03 -2.131E-02 ,
13209,-2.048E+00 -4.448E-01 -1.714E+00 -2.949E-01 -6.609E-01 1.710E-01 ,
13208,-3.264E-01 6.471E-02 -2.645E-01 3.937E-01 2.529E-01 1.195E-01 ,
13207,5.219E-01 -7.308E-02 1.203E-01 -1.664E-01 -2.302E-01 1.489E-01 ,
13206,3.590E-01 2.205E-01 8.008E-02 -4.682E-02 -6.492E-02 2.302E-02 ,
13205,8.613E-01 2.198E+00 7.435E-01 -2.974E-02 -1.143E-01 -4.642E-02 ,
13204,1.931E-01 4.611E-01 2.692E-02 -1.446E-01 1.265E-02 -1.988E-02 ,
13203,-2.779E-01 -2.081E-01 -4.845E-01 -4.619E-02 -1.013E-01 2.651E-02 ,
13202,2.019E-01 4.280E-01 1.513E-01 3.776E-02 -1.509E-01 7.428E-02 ,
13201,3.375E-01 8.106E-01 2.586E-01 -2.295E-01 -1.727E-01 7.424E-02 ,
13200,-9.980E-01 3.161E-01 -8.816E-01 1.687E-01 6.691E-01 4.907E-02 ,
13199,-5.648E-01 -6.879E-01 -5.193E-01 4.178E-01 8.526E-01 2.248E-01 ,
13198,-1.436E-01 6.850E-02 -1.229E-01 1.538E-01 -4.424E-02 4.843E-04 ,
13197,-1.294E-01 2.614E-01 -1.939E-01 -6.288E-02 -2.487E-02 1.778E-03 ,
13196,9.440E-02 3.253E-01 2.454E-02 3.430E-01 2.816E-01 1.439E-01 ,
13195,-1.283E-01 9.509E-01 1.137E-01 5.731E-02 5.962E-01 3.024E-02 ,
13194,-4.687E-02 -2.268E-01 -3.120E-01 7.834E-01 -4.365E-01 -1.033E-01 ,
13193,-1.668E-01 9.322E-02 -3.528E-01 1.308E-02 -2.138E-01 3.298E-02 ,
