 Element ID, Tensor(Element Stresses (2D & 3D)),
125,-1.829E-02 1.289E-02 1.447E-03 2.223E-03 -3.169E-03 2.358E-02 ,
126,-3.915E-03 1.831E-03 2.802E-03 -3.659E-04 -8.166E-04 1.758E-03 ,
127,6.116E-04 -1.142E-03 -2.291E-04 1.631E-04 3.465E-04 9.190E-05 ,
128,2.433E-02 -6.125E-02 -3.743E-01 -1.062E-01 2.824E-01 1.013E-01 ,
129,-6.019E-02 -5.232E-02 1.042E-01 -3.128E-03 4.645E-03 2.255E-01 ,
130,2.124E-01 9.066E-02 -1.667E-03 9.823E-02 2.240E-02 -2.407E-01 ,
131,2.318E-01 5.006E-01 1.291E+00 -3.614E-02 2.275E-01 1.512E-02 ,
132,7.434E-01 7.950E-01 -1.644E+00 -5.024E-02 -5.572E-02 -3.905E-02 ,
133,-1.205E-01 -2.433E-01 -1.545E+00 -3.790E-02 1.548E-02 7.178E-02 ,
134,8.935E-02 8.270E-02 -6.716E-01 -2.391E-02 2.827E-04 -2.004E-02 ,
135,-2.566E-02 -8.965E-03 -1.553E-03 1.261E-03 -1.509E-03 2.974E-03 ,
136,-3.134E-02 -8.185E-02 -1.399E-01 7.544E-03 8.380E-02 1.733E-01 ,
137,3.442E-01 4.242E-01 2.008E+00 -4.868E-03 -2.162E-02 -1.016E-01 ,
138,-1.534E-01 -4.009E-01 -9.809E-01 -3.200E-03 -1.703E-01 -5.402E-02 ,
139,1.550E-01 1.135E-01 4.079E-01 2.232E-02 3.073E-03 2.797E-01 ,
140,1.195E-02 4.172E-02 8.025E-02 2.132E-03 -3.406E-03 -6.914E-04 ,
141,-8.956E-03 -3.393E-02 4.820E-01 -1.363E-02 2.926E-02 3.533E-01 ,
142,-1.706E-01 4.783E-02 2.973E-01 1.457E-01 -5.673E-02 -2.278E-01 ,
143,5.912E-01 5.436E-01 -1.838E+00 1.527E-02 6.428E-03 -1.403E-01 ,
144,-1.224E-02 -2.243E-03 3.711E-02 1.123E-02 1.378E-02 1.397E-02 ,
145,-1.044E+00 -1.180E+00 -2.974E+00 -1.027E-01 2.166E-01 5.199E-01 ,
146,-2.298E-02 -5.042E-03 -5.414E-03 3.330E-03 -5.707E-04 -7.300E-03 ,
147,-3.510E-02 -1.429E-02 2.489E-04 1.585E-03 -3.231E-03 9.447E-03 ,
148,-1.982E-02 -1.095E-03 -3.133E-03 2.521E-03 -1.733E-03 -7.257E-03 ,
149,-1.934E-02 -3.546E-03 -2.405E-03 -7.838E-06 -1.739E-03 -4.291E-03 ,
150,7.646E-01 8.500E-01 -1.618E+00 -3.206E-02 -3.132E-02 -1.506E-01 ,
151,-1.503E-01 -9.635E-02 -5.055E-02 2.580E-02 4.665E-03 9.641E-03 ,
